,10.157.244.1,router
10.157.244.1,10.157.244.2,MWR
10.157.244.1,10.157.244.4,MWR
10.157.244.2,10.157.244.6,MWR
10.157.244.2,10.157.244.8,MWR
10.157.244.8,10.157.244.18,MWR
10.157.244.18,,RBS
10.157.244.6,10.157.244.14,MWR
10.157.244.6,10.157.244.16,MWR
10.157.244.14,10.157.244.26,MWR
10.157.244.26,,RBS
10.157.244.16,10.157.244.28,MWR
10.157.244.16,10.157.244.30,MWR
10.157.244.28,10.157.244.40,MWR
10.157.244.30,10.157.244.42,MWR
10.157.244.30,10.157.244.44,MWR
10.157.244.40,,RBS
10.157.244.42,,RBS
10.157.244.44,,RBS
10.157.244.4,10.157.244.10,MWR
10.157.244.4,10.157.244.12,MWR
10.157.244.10,10.157.244.20,MWR
10.157.244.20,,RBS
10.157.244.12,10.157.244.22,MWR
10.157.244.12,10.157.244.24,MWR
10.157.244.22,10.157.244.32,MWR
10.157.244.22,10.157.244.34,MWR
10.157.244.32,10.157.244.46,MWR
10.157.244.46,,RBS
10.157.244.34,10.157.244.48,MWR
10.157.244.34,10.157.244.50,MWR
10.157.244.48,10.157.244.56,MWR
10.157.244.56,,RBS
10.157.244.50,10.157.244.58,MWR
10.157.244.58,,RBS
10.157.244.24,10.157.244.36,MWR
10.157.244.24,10.157.244.38,MWR
10.157.244.36,10.157.244.52,MWR
10.157.244.38,10.157.244.54,MWR
10.157.244.52,,RBS
10.157.244.54,,RBS
